'Dutch column', 'English column'
'PersonenPerSoortUitkeringBijstand_80', 'PersonsPerTypeofbenefitBenefit_80'
'PersonenPerSoortUitkeringAO_81', 'PersonsPerSortYouStatusAO_81'
'PersonenPerSoortUitkeringWW_82', 'PersonsPerSortSofUsebenefitWW_82'
'PersonenPerSoortUitkeringAOW_83', 'PersonsPerSortSofFundingAOW_83'
'JongerenMetJeugdzorgInNatura_84', 'YouthWithYouthCareInNatura_84'
'PercentageJongerenMetJeugdzorg_85', 'PercentageofYoungPeopleWithYouthCare_85'
'WmoClienten_86', 'WmoClients_86'
'WmoClientenRelatief_87', 'WmoClientsRelative_87'
'TotaalDiefstalUitWoningSchuurED_88', 'TotalTheftFromHomeShedED_88'
'VernielingMisdrijfTegenOpenbareOrde_89', 'DestructionMisdemeanorTowardPublicOrde_89'
'GeweldsEnSeksueleMisdrijven_90', 'ViolenceAndSexualCrimes_90'
'BedrijfsvestigingenTotaal_91', 'Business establishmentsTotal_91'
'ALandbouwBosbouwEnVisserij_92', 'ALagricultureForestryAndFisheries_92'
'BFNijverheidEnEnergie_93', 'BFIndustryEnergy_93'
'GIHandelEnHoreca_94', 'GITradeAndHospitality_94'
'HJVervoerInformatieEnCommunicatie_95', 'HJTransportationInformationEnCommunication_95'
'KLFinancieleDienstenOnroerendGoed_96', 'KLFinancialServicesReal Estate_96'
'MNZakelijkeDienstverlening_97', 'MNBusinessServices_97'
'RUCultuurRecreatieOverigeDiensten_98', 'RUCultureRecreationOtherServices_98'
'PersonenautoSTotaal_99', 'PassengerCarTotal_99'
'PersonenautoSBrandstofBenzine_100', 'PassengerCarFuelBenzine_100'
'PersonenautoSOverigeBrandstof_101', 'PassengerCarsOverallFuel_101'
'PersonenautoSPerHuishouden_102', 'PassengerCarSPerHousehold_102'
'PersonenautoSNaarOppervlakte_103', 'PassengerCarSArea_103'
'Motorfietsen_104', 'Motorcycles_104'
'AfstandTotHuisartsenpraktijk_105', 'DistanceToHousehold_105'
'AfstandTotGroteSupermarkt_106', 'DistanceToBigSupermarket_106'
'AfstandTotKinderdagverblijf_107', 'DistanceToKindergarten_107'
'AfstandTotSchool_108', 'DistanceToSchool_108'
'ScholenBinnen3Km_109', 'SchoolsWithin3Km_109'
'OppervlakteTotaal_110', 'AreaTotal_110'
'OppervlakteLand_111', 'SurfaceLand_111'
'OppervlakteWater_112', 'SurfaceWater_112'
'MeestVoorkomendePostcode_113', 'MostFrequentPostcode_113'
'Dekkingspercentage_114', 'CoverageRate_114'
'MateVanStedelijkheid_115', 'DegreeOfUrbanity_115'
'Omgevingsadressendichtheid_116', 'EnvironmentalAddressDensity_116'
